ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,1,0.8 days,LOW,1.4 days,LOW,1.2 days,1.1 days,-,-
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,1,1.1 days,LOW,39.3 days,LOW,-,-,-,-
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,1,0.6 days,HIGH,1.0 days,HIGH,3.5 days,4.5 days,-,-
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,1,1.2 days,HIGH,1.2 days,HIGH,0.7 days,1.1 days,-,-
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,1,0.3 days,HIGH,1.1 days,HIGH,1.0 days,1.6 days,-,-
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,1,1.5 days,HIGH,1.9 days,HIGH,2.2 days,3.1 days,-,-
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,1,0.2 days,HIGH,2.2 days,HIGH,1.1 days,1.6 days,-,-
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,1,1.4 days,HIGH,1.4 days,HIGH,3.7 days,0.9 days,-,-
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,1,0.3 days,LOW,0.5 days,LOW,2.0 days,0.5 days,-,-
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,1,0.2 days,HIGH,2.1 days,HIGH,2.5 days,2.6 days,-,-
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,1,1.0 days,HIGH,2.9 days,HIGH,0.4 days,1.6 days,-,-
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,1,0.5 days,HIGH,0.9 days,HIGH,1.9 days,1.3 days,-,-
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,1,0.3 days,HIGH,0.9 days,HIGH,1.0 days,0.4 days,-,-
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,1,1.1 days,MEDIUM,2.0 days,MEDIUM,0.4 days,1.2 days,-,-
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,1,0.6 days,MEDIUM,2.3 days,MEDIUM,2.5 days,-,-,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,1,3.4 days,LOW,2.1 days,LOW,10.7 days,3.3 days,-,-
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,1,1.3 days,LOW,4.8 days,LOW,30.4 days,6.5 days,-,-
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,1,0.1 days,LOW,0.5 days,LOW,1.6 days,1.6 days,-,-
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,1,1.5 days,LOW,0.6 days,LOW,2.6 days,0.3 days,-,-
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,1,0.5 days,HIGH,1.1 days,HIGH,2.8 days,1.2 days,-,-
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,1,2.2 days,LOW,1.5 days,LOW,3.7 days,0.8 days,-,-
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,1,0.0 days,LOW,2.4 days,LOW,0.0 days,1.6 days,-,-
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,1,0.5 days,LOW,1.5 days,LOW,3.1 days,1.1 days,-,-
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,1,0.4 days,MEDIUM,1.0 days,MEDIUM,-,-,-,-
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,1,0.9 days,LOW,0.6 days,LOW,1.6 days,1.1 days,-,-
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,1,0.4 days,MEDIUM,3.0 days,MEDIUM,0.5 days,2.3 days,-,-
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,1,0.9 days,LOW,1.4 days,LOW,1.5 days,1.0 days,-,-
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,1,0.0 days,MEDIUM,1.1 days,MEDIUM,-,-,-,-
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,1,0.8 days,MEDIUM,1.2 days,MEDIUM,-,-,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,1,0.4 days,HIGH,1.8 days,HIGH,1.1 days,2.5 days,-,-
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,1,1.2 days,LOW,1.4 days,LOW,0.1 days,15.4 days,-,-
