ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,29,MEDIUM,2.8 days,MEDIUM,-,-,-,-,-
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,29,0.6 days,LOW,0.7 days,LOW,0.8 days,2.0 days,20.0%,40.0%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,29,2.5 days,MEDIUM,2.0 days,MEDIUM,1.8 days,1.2 days,400.0%,-4.8%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,29,0.5 days,LOW,1.3 days,LOW,0.7 days,1.3 days,66.7%,-7.1%
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,29,0.5 days,LOW,1.6 days,LOW,2.2 days,2.0 days,0.0%,-5.9%
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,29,0.2 days,MEDIUM,0.1 days,MEDIUM,0.1 days,4.4 days,-33.3%,-98.3%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,29,0.1 days,LOW,3.5 days,LOW,2.2 days,0.0%,-55.7%,-
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,28,0.3 days,HIGH,1.8 days,HIGH,2.9 days,2.5 days,0.0%,-18.2%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,28,1.1 days,LOW,1.4 days,LOW,2.8 days,0.7 days,37.5%,-33.3%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,28,0.7 days,LOW,2.2 days,LOW,0.7 days,3.0 days,133.3%,37.5%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,28,3.3 days,LOW,1.7 days,LOW,2.6 days,0.7 days,22.2%,21.4%
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,28,LOW,0.7 days,LOW,2.1 days,-,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,28,0.8 days,MEDIUM,3.0 days,MEDIUM,-,-,-,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,28,1.0 days,MEDIUM,0.8 days,MEDIUM,1.0 days,25.0%,-11.1%,-
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,28,2.5 days,LOW,1.9 days,LOW,2.5 days,3.9 days,38.9%,-5.0%
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,28,0.8 days,HIGH,1.1 days,HIGH,13.9 days,4.8 days,-11.1%,10.0%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,28,0.7 days,MEDIUM,0.2 days,MEDIUM,0.0 days,133.3%,-66.7%,-
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,28,0.3 days,HIGH,1.0 days,HIGH,1.9 days,0.8 days,0.0%,0.0%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,28,0.8 days,LOW,2.1 days,LOW,12.5 days,2.8 days,33.3%,133.3%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,28,1.0 days,HIGH,2.5 days,HIGH,1.2 days,1.8 days,100.0%,-7.4%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,28,0.8 days,HIGH,1.5 days,HIGH,1.2 days,1.0 days,0.0%,0.0%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,28,0.6 days,LOW,1.0 days,LOW,1.4 days,0.4 days,200.0%,66.7%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,28,0.1 days,LOW,1.7 days,LOW,2.8 days,1.4 days,-85.7%,-26.1%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,28,0.6 days,HIGH,3.9 days,HIGH,0.3 days,6.4 days,-40.0%,-11.4%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,28,0.5 days,HIGH,0.8 days,HIGH,0.8 days,1.1 days,-28.6%,-20.0%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,28,1.2 days,LOW,0.9 days,LOW,0.3 days,500.0%,12.5%,-
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,28,0.1 days,LOW,0.9 days,LOW,0.0 days,-47.1%,-,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,28,0.9 days,HIGH,1.7 days,HIGH,1.6 days,1.8 days,28.6%,0.0%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,28,0.5 days,LOW,3.8 days,LOW,3.0 days,7.4 days,-66.7%,171.4%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,28,3.3 days,LOW,0.5 days,LOW,6.0 days,4.7 days,266.7%,-50.0%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,28,2.1 days,LOW,1.4 days,LOW,6.7 days,1.7 days,23.5%,27.3%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,28,0.6 days,HIGH,2.0 days,HIGH,4.6 days,2.4 days,0.0%,0.0%
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,28,2.5 days,LOW,4.7 days,LOW,1.5 days,4.6 days,25.0%,34.3%
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,28,0.7 days,LOW,1.4 days,LOW,2.1 days,1.1 days,-89.7%,-6.7%
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,28,0.5 days,LOW,0.5 days,LOW,0.7 days,1.1 days,0.0%,0.0%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,28,0.5 days,MEDIUM,2.1 days,MEDIUM,0.5 days,2.1 days,-75.0%,31.3%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,28,0.3 days,MEDIUM,1.4 days,MEDIUM,1.8 days,-25.0%,0.0%,-
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,28,LOW,1.0 days,LOW,-16.7%,-,-,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,28,0.3 days,MEDIUM,1.7 days,MEDIUM,1.3 days,4.0 days,0.0%,0.0%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,28,0.4 days,LOW,13.6 days,LOW,0.1 days,17.8 days,-20.0%,312.1%
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,27,0.3 days,HIGH,2.2 days,HIGH,2.7 days,6.2 days,-78.6%,37.5%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,27,0.8 days,LOW,2.1 days,LOW,1.5 days,4.1 days,166.7%,40.0%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,27,0.3 days,LOW,1.6 days,LOW,1.2 days,2.6 days,-,-
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,27,2.7 days,LOW,1.4 days,LOW,2.2 days,6.3 days,80.0%,-6.7%
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,27,MEDIUM,3.2 days,MEDIUM,-15.8%,-,-,-,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,27,0.8 days,HIGH,0.9 days,HIGH,3.4 days,1.0 days,166.7%,80.0%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,27,1.8 days,LOW,2.0 days,LOW,3.1 days,2.7 days,63.6%,33.3%
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,27,0.9 days,LOW,1.0 days,LOW,1.7 days,4.8 days,12.5%,11.1%
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,27,0.3 days,HIGH,1.0 days,HIGH,0.4 days,1.0 days,0.0%,-9.1%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,27,0.6 days,HIGH,0.9 days,HIGH,2.3 days,4.1 days,-25.0%,-10.0%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,27,0.5 days,LOW,2.7 days,LOW,2.5 days,3.3 days,-78.3%,-30.8%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,27,0.8 days,LOW,1.5 days,LOW,1.4 days,1.0 days,-50.0%,-6.3%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,27,0.2 days,HIGH,0.6 days,HIGH,0.2 days,0.6 days,0.0%,-40.0%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,27,0.7 days,LOW,2.3 days,LOW,1.9 days,1.9 days,-,-
