ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13,ag-cell-content 14
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,13,0.9 days,MEDIUM,1.8 days,MEDIUM,1.0 days,-10.0%,0.0%,,1.3 days
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,13,0.8 days,HIGH,0.5 days,HIGH,0.4 days,100.0%,-16.7%,,0.3 days
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,13,0.9 days,LOW,2.5 days,LOW,1.1 days,-47.1%,-3.9%,,1.7 days
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,13,1.1 days,MEDIUM,2.9 days,MEDIUM,0.9 days,10.0%,0.0%,,9.1 days
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,13,0.8 days,HIGH,1.0 days,HIGH,1.6 days,33.3%,-9.1%,,1.4 days
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,13,0.3 days,HIGH,0.8 days,HIGH,0.4 days,200.0%,60.0%,,0.8 days
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,13,2.6 days,LOW,3.1 days,LOW,3.1 days,100.0%,-8.8%,,1.2 days
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,13,0.3 days,MEDIUM,1.9 days,MEDIUM,-50.0%,-57.8%,,-,0.1 days
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,13,1.3 days,HIGH,2.0 days,HIGH,2.5 days,62.5%,0.0%,,2.7 days
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,13,1.0 days,HIGH,3.8 days,HIGH,1.0 days,900.0%,-11.6%,,6.7 days
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,13,0.8 days,HIGH,0.8 days,HIGH,1.3 days,-46.7%,14.3%,,2.0 days
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,13,1.2 days,HIGH,0.5 days,HIGH,0.6 days,-7.7%,0.0%,,0.2 days
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,13,1.1 days,LOW,1.1 days,LOW,2.5 days,-26.7%,10.0%,,5.2 days
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,13,0.9 days,HIGH,2.0 days,HIGH,3.0 days,12.5%,0.0%,,2.2 days
Ghogha,https://www.marinetraffic.com/en/ais/details/ports/22248/name=Ghogha,13,LOW,2.4 days,LOW,-78.4%,,-,-,-,2.5 days
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,13,0.5 days,LOW,2.5 days,LOW,0.5 days,-61.5%,-10.7%,,1.5 days
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,13,0.3 days,HIGH,1.3 days,HIGH,0.9 days,-66.7%,-7.1%,,1.2 days
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,13,0.8 days,LOW,0.5 days,LOW,0.6 days,-11.1%,-16.7%,,0.5 days
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,13,1.0 days,LOW,1.8 days,LOW,1.1 days,233.3%,-40.0%,,1.3 days
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,13,1.8 days,LOW,1.1 days,LOW,1.5 days,800.0%,-21.4%,,1.1 days
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,13,0.0 days,MEDIUM,1.1 days,MEDIUM,0.0%,,-,-,-
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,13,MEDIUM,1.0 days,MEDIUM,-23.1%,,-,-,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,13,0.2 days,LOW,2.3 days,LOW,1.0 days,,-,-,3.9 days
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,13,0.4 days,HIGH,0.1 days,HIGH,0.0 days,33.3%,0.0%,,0.0 days
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,13,0.1 days,LOW,6.8 days,LOW,-50.0%,223.8%,,-,7.1 days
