ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13,ag-cell-content 14
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,19,0.8 days,MEDIUM,1.0 days,MEDIUM,1.9 days,1.0 days,0.0%,0.0%,
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,19,0.8 days,HIGH,1.5 days,HIGH,2.4 days,1.1 days,33.3%,-25.0%,
Ghogha,https://www.marinetraffic.com/en/ais/details/ports/22248/name=Ghogha,19,MEDIUM,7.3 days,MEDIUM,-,-,-,-,-,
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,19,0.9 days,HIGH,2.2 days,HIGH,0.7 days,1.9 days,-35.7%,-38.9%,
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,19,0.7 days,LOW,1.4 days,LOW,2.8 days,1.0 days,-36.4%,7.7%,
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,19,0.8 days,LOW,0.6 days,LOW,0.6 days,2.7 days,-27.3%,0.0%,
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,19,3.2 days,MEDIUM,2.6 days,MEDIUM,2.0 days,1.8 days,28.0%,0.0%,
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,19,4.9 days,HIGH,1.5 days,HIGH,3.1 days,1.4 days,345.4%,7.1%,
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,19,0.3 days,LOW,1.5 days,LOW,1.4 days,1.1 days,200.0%,-28.6%,
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,19,0.5 days,LOW,24.5 days,LOW,66.7%,24400.0%,-,-,
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,19,0.1 days,MEDIUM,5.0 days,MEDIUM,7.2 days,-80.0%,-19.4%,-,
Vizhinjam,https://www.marinetraffic.com/en/ais/details/ports/18972/name=Vizhinjam,18,MEDIUM,2.7 days,MEDIUM,-,-,-,-,-,
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,18,0.8 days,HIGH,2.7 days,HIGH,2.1 days,5.9 days,-38.5%,35.0%,
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,18,1.1 days,MEDIUM,1.4 days,MEDIUM,2.5 days,0.4 days,37.5%,0.0%,
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,18,0.3 days,HIGH,1.6 days,HIGH,1.1 days,1.4 days,-57.1%,0.0%,
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,18,1.0 days,LOW,1.4 days,LOW,2.0 days,0.6 days,-9.1%,-12.5%,
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,18,0.8 days,MEDIUM,1.3 days,MEDIUM,0.6 days,1.1 days,14.3%,0.0%,
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,18,1.3 days,MEDIUM,1.3 days,MEDIUM,0.3 days,0.7 days,550.0%,18.2%,
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,18,0.1 days,MEDIUM,3.4 days,MEDIUM,0.1 days,1.9 days,-8.1%,-,
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,18,LOW,0.3 days,LOW,-85.0%,-,-,-,-,
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,18,0.8 days,LOW,0.8 days,LOW,1.5 days,1.0 days,-20.0%,14.3%,
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,18,2.0 days,LOW,1.9 days,LOW,1.9 days,1.5 days,11.1%,35.7%,
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,18,0.5 days,LOW,0.9 days,LOW,2.7 days,2.3 days,-54.5%,-10.0%,
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,18,2.1 days,LOW,2.6 days,LOW,1.6 days,1.4 days,-66.7%,52.9%,
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,18,0.3 days,HIGH,1.0 days,HIGH,1.2 days,0.8 days,0.0%,0.0%,
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,18,0.8 days,LOW,1.0 days,LOW,11.7 days,2.0 days,14.3%,11.1%,
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,18,1.1 days,LOW,2.3 days,LOW,1.1 days,3.4 days,266.7%,-14.8%,
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,18,1.0 days,LOW,1.3 days,LOW,1.7 days,2.1 days,11.1%,-18.8%,
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,18,0.5 days,HIGH,0.5 days,HIGH,0.3 days,0.3 days,-16.7%,0.0%,
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,18,1.0 days,LOW,3.5 days,LOW,0.9 days,66.7%,-7.9%,,2.7 days
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,18,1.3 days,HIGH,2.8 days,HIGH,0.7 days,44.4%,-20.0%,,0.8 days
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,18,0.4 days,LOW,1.0 days,LOW,1.5 days,-20.0%,-9.1%,,4.8 days
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,18,0.5 days,LOW,0.7 days,LOW,0.5 days,-30.0%,,-,0.5 days
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,18,1.0 days,MEDIUM,2.2 days,MEDIUM,0.9 days,42.9%,57.1%,,1.1 days
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,18,1.1 days,MEDIUM,1.9 days,MEDIUM,1.0 days,266.7%,-44.1%,,1.2 days
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,18,1.2 days,LOW,1.7 days,LOW,5.4 days,-52.0%,-32.0%,,2.2 days
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,18,2.3 days,LOW,3.2 days,LOW,1.5 days,109.1%,-31.9%,,7.9 days
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,18,7.2 days,LOW,0.7 days,LOW,5.0 days,46.9%,-22.2%,,1.4 days
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,18,1.0 days,LOW,0.3 days,LOW,0.3 days,900.0%,0.0%,,0.1 days
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,18,0.8 days,HIGH,1.0 days,HIGH,2.6 days,-11.1%,0.0%,,4.7 days
